2020-06-25 08:02:57 status unpacked libss2:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:57 install findutils:armhf <none> 4.6.0+git+20161106-2
2020-06-25 08:02:57 status half-installed findutils:armhf 4.6.0+git+20161106-2
2020-06-25 08:02:58 status unpacked findutils:armhf 4.6.0+git+20161106-2
2020-06-25 08:02:58 status unpacked findutils:armhf 4.6.0+git+20161106-2
2020-06-25 08:02:59 install gcc-6-base:armhf <none> 6.3.0-18+deb9u1
2020-06-25 08:02:59 status half-installed gcc-6-base:armhf 6.3.0-18+deb9u1
2020-06-25 08:02:59 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2020-06-25 08:02:59 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2020-06-25 08:02:59 install libgcc1:armhf <none> 1:6.3.0-18+deb9u1
2020-06-25 08:02:59 status half-installed libgcc1:armhf 1:6.3.0-18+deb9u1
2020-06-25 08:03:00 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2020-06-25 08:03:00 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2020-06-25 08:03:00 install libc-bin:armhf <none> 2.24-11+deb9u4
2020-06-25 08:03:00 status half-installed libc-bin:armhf 2.24-11+deb9u4
2020-06-25 08:03:02 status unpacked libc-bin:armhf 2.24-11+deb9u4
2020-06-25 08:03:02 status unpacked libc-bin:armhf 2.24-11+deb9u4
2020-06-25 08:03:02 upgrade libc6:armhf 2.24-11+deb9u4 2.24-11+deb9u4
2020-06-25 08:03:02 status half-configured libc6:armhf 2.24-11+deb9u4
2020-06-25 08:03:02 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:03:02 status half-installed libc6:armhf 2.24-11+deb9u4
2020-06-25 08:03:12 status half-installed libc6:armhf 2.24-11+deb9u4
2020-06-25 08:03:12 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:03:12 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:03:13 install multiarch-support:armhf <none> 2.24-11+deb9u4
2020-06-25 08:03:13 status half-installed multiarch-support:armhf 2.24-11+deb9u4
2020-06-25 08:03:13 status unpacked multiarch-support:armhf 2.24-11+deb9u4
2020-06-25 08:03:13 status unpacked multiarch-support:armhf 2.24-11+deb9u4
2020-06-25 08:03:13 install grep:armhf <none> 2.27-2
2020-06-25 08:03:13 status half-installed grep:armhf 2.27-2
2020-06-25 08:03:14 status unpacked grep:armhf 2.27-2
2020-06-25 08:03:14 status unpacked grep:armhf 2.27-2
2020-06-25 08:03:14 install gzip:armhf <none> 1.6-5+b1
2020-06-25 08:03:14 status half-installed gzip:armhf 1.6-5+b1
2020-06-25 08:03:15 status unpacked gzip:armhf 1.6-5+b1
2020-06-25 08:03:15 status unpacked gzip:armhf 1.6-5+b1
2020-06-25 08:03:15 install hostname:armhf <none> 3.18+b1
